ID,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y
0,71,121,71,121,71,121
1,71,121,71,121,71,121
2,71,121,71,121,71,121
3,71,121,71,121,71,121
4,71,121,71,121,71,121
5,71,121,71,121,71,121
6,71,121,71,121,71,121
7,71,121,71,121,71,121
8,71,121,71,121,71,121
9,71,121,71,121,71,121
10,71,121,71,121,71,121
11,71,121,71,121,71,121
12,71,121,71,121,71,121
13,71,121,71,121,71,121
14,71,121,71,121,71,121
15,71,121,71,121,71,121
16,71,121,71,121,71,121
17,71,121,71,121,71,121
18,71,121,71,121,71,121
19,71,121,71,121,71,121
20,71,121,71,121,71,121
21,71,121,71,121,71,121
22,71,121,71,121,71,121
23,71,121,71,121,71,121
24,71,121,71,121,71,121
25,71,121,71,121,71,121
26,71,121,71,121,71,121
27,71,121,71,121,71,121
28,71,121,71,121,71,121
29,70,121,71,121,71,121
30,70,121,71,121,71,121
31,70,121,71,121,71,121
32,70,121,71,121,71,121
33,69,121,71,121,71,121
34,69,121,71,121,71,121
35,69,121,71,121,71,121
36,68,121,71,121,71,121
37,68,121,71,121,71,121
38,68,122,71,121,71,121
39,68,122,71,121,71,121
40,68,122,71,121,71,121
41,68,123,71,121,71,121
42,68,123,71,121,71,121
43,68,123,71,121,71,121
44,68,123,71,121,71,121
45,68,123,71,121,71,121
46,68,123,71,121,71,121
47,68,123,71,121,71,121
48,68,123,71,121,71,121
49,68,123,71,121,71,121
50,69,123,71,121,71,121
51,69,123,71,121,71,121
52,70,124,71,121,71,121
53,70,124,71,121,71,121
54,70,124,71,121,71,121
55,71,125,71,121,71,121
56,71,125,71,121,71,121
57,71,125,71,121,71,121
58,71,125,71,121,71,121
59,71,125,71,121,71,121
60,71,125,71,121,71,121
61,70,125,71,121,71,121
62,70,125,71,121,71,121
63,70,125,71,121,71,121
64,69,125,71,121,71,121
65,69,125,71,121,71,121
66,69,125,71,121,71,121
67,69,125,71,121,71,121
68,69,125,71,121,71,121
69,69,125,71,121,71,121
70,69,125,71,121,71,121
71,69,125,71,121,71,121
72,69,125,71,121,71,121
73,69,125,71,121,71,121
74,69,125,71,121,71,121
75,69,125,71,121,71,121
76,69,125,71,121,71,121
77,69,125,71,121,71,121
78,69,125,71,121,71,121
79,69,125,71,121,71,121
80,69,125,71,121,71,121
81,69,125,71,121,71,121
82,69,125,71,121,71,121
83,69,125,71,121,71,121
84,69,125,71,121,71,121
85,69,125,71,121,71,121
86,69,125,71,121,71,121
87,69,125,71,121,71,121
88,69,125,71,121,71,121
89,69,125,71,121,71,121
90,69,125,71,121,71,121
91,69,125,71,121,71,121
92,69,125,71,121,71,121
93,69,125,71,121,71,121
94,68,125,71,121,71,121
95,68,125,71,121,71,121
96,68,125,71,121,71,121
97,68,125,71,121,71,121
98,68,125,71,121,71,121
99,68,125,71,121,71,121
100,68,124,71,121,71,121
101,68,124,71,121,71,121
102,68,123,71,121,71,121
103,69,123,71,121,71,121
104,69,123,71,121,71,121
105,69,124,71,121,71,121
106,70,124,71,121,71,120
107,70,124,71,121,71,120
108,70,125,71,121,71,120
109,70,125,71,121,71,119
110,71,125,71,121,71,119
111,71,125,71,121,71,119
112,71,126,71,121,71,119
113,71,126,71,121,71,119
114,71,126,71,121,71,119
115,71,126,71,121,71,119
116,71,126,71,121,71,119
117,72,126,71,121,71,119
118,72,126,71,121,71,119
119,72,126,71,121,71,119
120,73,126,71,121,71,119
121,73,126,71,121,71,119
122,73,126,71,121,71,119
123,73,126,71,121,71,119
124,73,126,71,121,71,119
125,73,125,71,121,71,119
126,73,125,71,121,71,119
127,72,125,71,121,71,119
128,72,125,71,121,71,119
129,73,125,71,121,71,119
130,73,125,71,121,71,119
131,73,125,71,121,71,119
132,74,125,71,121,71,119
133,74,125,71,121,71,119
134,73,125,71,121,71,119
135,73,125,71,121,71,119
136,73,125,71,121,71,119
137,72,126,71,121,71,118
138,72,126,71,121,70,118
139,72,126,71,121,70,118
140,72,126,71,121,70,117
141,72,126,71,121,70,117
142,72,126,71,120,70,117
143,72,126,71,120,70,117
144,72,126,71,119,70,117
145,72,126,71,119,70,117
146,72,126,71,119,70,117
147,72,126,71,118,70,117
148,72,126,71,118,70,117
149,72,126,71,117,70,117
150,72,126,70,116,70,117
151,72,126,70,116,70,117
152,72,126,70,115,70,117
153,72,126,70,114,70,117
154,72,126,70,113,70,117
155,72,126,70,112,70,117
156,72,126,70,112,70,117
157,72,126,70,112,70,117
158,72,126,70,112,70,117
159,72,126,70,112,70,117
160,72,126,70,112,70,117
161,72,126,70,111,70,117
162,72,126,70,111,70,117
163,72,126,70,110,70,117
164,72,126,70,109,70,117
165,72,126,70,108,70,117
166,72,126,70,107,70,117
167,72,126,70,107,70,117
168,72,126,71,106,70,118
169,72,126,71,105,70,118
170,72,126,72,104,70,118
171,72,126,72,104,70,119
172,72,126,73,103,71,119
173,72,126,74,103,71,119
174,72,126,74,102,71,119
175,72,126,74,102,71,119
176,72,126,75,102,71,119
177,72,126,75,102,71,120
178,72,126,75,101,71,120
179,72,126,75,101,71,120
180,72,126,76,101,71,121
181,72,126,76,101,71,121
182,72,126,76,101,71,121
183,72,126,76,101,71,121
184,72,126,76,101,71,121
185,72,126,76,101,71,121
186,72,126,76,101,71,121
187,72,126,76,101,71,121
188,72,126,76,101,71,121
189,72,126,76,101,71,122
190,72,126,76,101,71,122
191,72,126,76,101,71,122
192,72,126,76,101,71,123
193,72,126,76,101,71,123
194,72,126,76,101,71,123
195,72,126,76,101,71,123
196,72,126,76,101,71,123
197,72,126,76,101,71,123
198,72,126,76,101,71,123
199,72,126,76,101,71,123
200,72,126,76,101,71,123
201,72,126,76,101,71,123
202,72,126,76,101,71,123
203,72,126,76,101,71,123
204,72,126,76,101,71,123
205,72,126,76,101,71,123
206,72,126,76,101,71,123
207,72,126,76,100,71,123
208,72,126,76,100,71,123
209,72,125,76,99,71,123
210,72,125,76,99,71,123
211,72,125,76,98,71,123
212,72,124,76,97,71,123
213,72,124,76,97,71,123
214,72,123,76,96,71,123
215,72,123,76,95,71,123
216,71,122,76,94,71,123
217,71,122,76,93,71,123
218,71,122,76,92,71,123
219,71,122,76,91,71,123
220,72,122,76,90,71,123
221,72,122,76,89,71,123
222,72,122,76,88,71,123
223,73,122,75,87,71,123
224,73,122,75,86,71,123
225,73,123,75,85,71,123
226,73,123,75,84,71,123
227,73,124,75,83,71,123
228,73,124,75,82,71,123
229,73,124,75,80,71,123
230,73,124,75,79,71,123
231,73,124,75,78,71,123
232,73,124,75,78,71,123
233,73,124,75,76,71,123
234,73,124,75,75,71,123
235,73,124,75,74,71,123
236,73,124,75,73,71,123
237,73,124,75,72,71,123
238,73,123,75,71,71,123
239,73,123,75,70,71,123
240,73,123,75,69,71,123
241,73,122,75,67,71,123
242,72,122,75,66,71,123
243,72,121,75,65,71,123
244,72,121,75,64,71,123
245,72,121,75,63,71,123
246,72,121,75,61,71,123
247,72,121,75,60,71,123
248,73,120,75,59,71,123
249,73,120,75,58,71,123
250,73,121,75,57,71,123
251,73,120,75,56,71,123
252,73,120,75,55,71,123
253,73,120,75,54,71,123
254,73,119,75,53,71,123
255,73,119,75,52,71,123
256,73,118,75,51,71,123
257,73,118,75,50,71,123
258,74,118,75,48,71,123
259,74,117,75,47,71,123
260,74,117,75,46,71,123
261,74,117,74,45,71,123
262,73,116,74,45,71,123
263,73,116,74,44,71,123
264,73,116,74,43,71,123
265,72,116,74,43,71,123
266,72,116,74,43,71,123
267,72,115,74,42,71,123
268,71,115,74,42,71,123
269,71,115,74,42,71,123
270,70,115,74,42,71,123
271,70,115,74,41,71,123
272,70,115,74,41,71,123
273,70,115,74,41,71,123
274,70,115,74,41,71,123
275,70,115,74,41,71,123
276,70,115,74,41,71,123
277,70,115,74,41,71,123
278,70,115,74,41,71,123
279,70,115,74,41,71,123
280,70,115,74,41,71,123
281,70,116,74,41,71,123
282,70,116,74,41,71,123
283,70,116,74,41,71,123
284,70,117,74,41,71,123
285,70,117,74,41,71,123
286,70,117,74,41,71,123
287,70,117,74,41,71,123
288,70,117,74,41,71,123
289,70,117,74,41,71,123
290,70,117,74,41,71,123
291,70,117,74,41,71,123
292,70,117,74,41,71,123
293,70,118,74,41,71,123
294,70,118,74,41,71,123
295,70,118,74,41,71,123
296,70,118,74,41,71,123
297,70,118,74,41,71,123
298,70,118,74,41,71,123
299,70,118,73,41,71,123
300,70,118,73,41,71,123
301,71,118,72,41,71,123
302,71,118,72,41,71,123
303,71,118,71,41,71,123
304,72,118,70,41,71,123
305,72,118,69,41,71,123
306,73,118,68,41,71,123
307,73,118,67,41,71,123
308,73,118,66,41,71,123
309,73,119,66,41,71,123
310,73,119,65,41,71,123
311,73,120,64,41,71,123
312,74,120,64,41,71,123
313,74,121,63,41,71,123
314,74,121,63,41,71,123
315,74,121,63,41,71,123
316,74,122,63,41,71,123
317,74,122,62,41,71,123
318,74,122,62,41,71,123
319,74,122,62,41,71,123
320,74,122,62,41,71,123
321,74,122,62,41,71,123
322,74,122,62,41,71,123
323,74,122,62,41,71,123
324,74,122,63,41,71,123
325,74,122,63,41,71,123
326,74,122,63,41,71,123
327,74,123,63,41,71,123
328,74,123,63,41,71,123
329,74,123,63,41,71,123
330,74,123,63,41,71,123
331,74,123,63,41,71,123
332,74,123,64,41,71,123
333,74,123,64,41,71,123
334,74,123,64,41,71,123
335,74,123,64,41,71,123
336,74,123,64,41,71,123
337,74,123,64,41,71,123
338,74,123,64,41,71,123
339,74,123,64,41,71,123
340,74,123,64,41,71,123
341,74,123,64,41,71,123
342,74,123,64,41,71,123
343,74,123,64,41,71,123
344,74,123,64,41,71,123
345,74,123,64,41,71,123
346,74,123,64,41,71,123
347,74,123,64,41,71,123
348,74,123,65,41,71,123
349,74,123,65,41,71,123
350,74,123,65,41,71,123
351,74,123,66,41,71,123
352,74,123,66,41,71,123
353,74,123,66,41,71,123
354,74,123,66,41,71,123
355,74,123,66,41,71,123
356,74,123,66,41,71,123
357,74,123,67,41,71,123
358,74,123,67,41,71,123
359,74,123,67,41,71,123
360,74,123,67,41,71,123
361,74,123,67,41,71,123
362,74,123,67,41,71,123
363,74,123,67,41,71,123
364,74,123,67,41,71,123
365,74,123,67,41,71,123
366,74,123,67,41,71,123
367,74,123,67,41,71,123
368,74,123,67,41,71,123
369,74,123,67,41,71,123
370,73,123,67,41,71,123
371,73,123,67,40,71,123
372,73,123,67,40,71,123
373,73,122,67,40,71,123
374,72,122,67,40,71,123
375,72,121,67,39,71,123
376,72,121,67,39,71,123
377,72,121,67,39,71,123
378,71,121,67,39,71,123
379,71,121,67,39,71,123
380,71,121,67,38,71,123
381,71,121,67,38,71,123
382,71,121,67,37,71,123
383,71,121,67,37,71,123
384,71,121,67,37,71,123
385,72,121,67,37,71,123
386,72,121,67,37,71,123
387,72,121,67,37,71,123
388,73,121,67,36,71,123
389,73,122,67,36,71,123
390,73,122,67,36,71,123
391,73,122,67,36,71,123
392,73,122,67,36,71,123
393,73,122,67,36,71,123
394,73,122,67,36,71,123
395,74,122,67,36,71,123
396,74,122,67,36,71,123
397,74,122,67,36,71,123
398,74,123,67,35,71,123
399,74,123,67,35,71,123
400,74,123,67,35,71,123
401,74,123,67,34,71,123
402,74,123,67,34,71,123
403,74,123,67,34,71,123
404,74,123,67,34,71,123
405,74,123,67,34,71,123
406,74,123,67,34,71,123
407,74,123,67,34,71,123
408,74,123,67,34,71,123
409,74,123,67,33,71,123
410,74,122,67,33,71,123
411,74,122,67,33,71,123
